,date,V39078
0,2012-01-02,1.25
1,2012-01-03,1.25
2,2012-01-04,1.25
3,2012-01-05,1.25
4,2012-01-06,1.25
5,2012-01-09,1.25
6,2012-01-10,1.25
7,2012-01-11,1.25
8,2012-01-12,1.25
9,2012-01-13,1.25
10,2012-01-16,1.25
11,2012-01-17,1.25
12,2012-01-18,1.25
13,2012-01-19,1.25
14,2012-01-20,1.25
15,2012-01-23,1.25
16,2012-01-24,1.25
17,2012-01-25,1.25
18,2012-01-26,1.25
19,2012-01-27,1.25
20,2012-01-30,1.25
21,2012-01-31,1.25
22,2012-02-01,1.25
23,2012-02-02,1.25
24,2012-02-03,1.25
25,2012-02-06,1.25
26,2012-02-07,1.25
27,2012-02-08,1.25
28,2012-02-09,1.25
29,2012-02-10,1.25
30,2012-02-13,1.25
31,2012-02-14,1.25
32,2012-02-15,1.25
33,2012-02-16,1.25
34,2012-02-17,1.25
35,2012-02-20,1.25
36,2012-02-21,1.25
37,2012-02-22,1.25
38,2012-02-23,1.25
39,2012-02-24,1.25
40,2012-02-27,1.25
41,2012-02-28,1.25
42,2012-02-29,1.25
43,2012-03-01,1.25
44,2012-03-02,1.25
45,2012-03-05,1.25
46,2012-03-06,1.25
47,2012-03-07,1.25
48,2012-03-08,1.25
49,2012-03-09,1.25
50,2012-03-12,1.25
51,2012-03-13,1.25
52,2012-03-14,1.25
53,2012-03-15,1.25
54,2012-03-16,1.25
55,2012-03-19,1.25
56,2012-03-20,1.25
57,2012-03-21,1.25
58,2012-03-22,1.25
59,2012-03-23,1.25
60,2012-03-26,1.25
61,2012-03-27,1.25
62,2012-03-28,1.25
63,2012-03-29,1.25
64,2012-03-30,1.25
65,2012-04-02,1.25
66,2012-04-03,1.25
67,2012-04-04,1.25
68,2012-04-05,1.25
69,2012-04-06,1.25
70,2012-04-09,1.25
71,2012-04-10,1.25
72,2012-04-11,1.25
73,2012-04-12,1.25
74,2012-04-13,1.25
75,2012-04-16,1.25
76,2012-04-17,1.25
77,2012-04-18,1.25
78,2012-04-19,1.25
79,2012-04-20,1.25
80,2012-04-23,1.25
81,2012-04-24,1.25
82,2012-04-25,1.25
83,2012-04-26,1.25
84,2012-04-27,1.25
85,2012-04-30,1.25
86,2012-05-01,1.25
87,2012-05-02,1.25
88,2012-05-03,1.25
89,2012-05-04,1.25
90,2012-05-07,1.25
91,2012-05-08,1.25
92,2012-05-09,1.25
93,2012-05-10,1.25
94,2012-05-11,1.25
95,2012-05-14,1.25
96,2012-05-15,1.25
97,2012-05-16,1.25
98,2012-05-17,1.25
99,2012-05-18,1.25
100,2012-05-21,1.25
101,2012-05-22,1.25
102,2012-05-23,1.25
103,2012-05-24,1.25
104,2012-05-25,1.25
105,2012-05-28,1.25
106,2012-05-29,1.25
107,2012-05-30,1.25
108,2012-05-31,1.25
109,2012-06-01,1.25
110,2012-06-04,1.25
111,2012-06-05,1.25
112,2012-06-06,1.25
113,2012-06-07,1.25
114,2012-06-08,1.25
115,2012-06-11,1.25
116,2012-06-12,1.25
117,2012-06-13,1.25
118,2012-06-14,1.25
119,2012-06-15,1.25
120,2012-06-18,1.25
121,2012-06-19,1.25
122,2012-06-20,1.25
123,2012-06-21,1.25
124,2012-06-22,1.25
125,2012-06-25,1.25
126,2012-06-26,1.25
127,2012-06-27,1.25
128,2012-06-28,1.25
129,2012-06-29,1.25
130,2012-07-02,1.25
131,2012-07-03,1.25
132,2012-07-04,1.25
133,2012-07-05,1.25
134,2012-07-06,1.25
135,2012-07-09,1.25
136,2012-07-10,1.25
137,2012-07-11,1.25
138,2012-07-12,1.25
139,2012-07-13,1.25
140,2012-07-16,1.25
141,2012-07-17,1.25
142,2012-07-18,1.25
143,2012-07-19,1.25
144,2012-07-20,1.25
145,2012-07-23,1.25
146,2012-07-24,1.25
147,2012-07-25,1.25
148,2012-07-26,1.25
149,2012-07-27,1.25
150,2012-07-30,1.25
151,2012-07-31,1.25
152,2012-08-01,1.25
153,2012-08-02,1.25
154,2012-08-03,1.25
155,2012-08-06,1.25
156,2012-08-07,1.25
157,2012-08-08,1.25
158,2012-08-09,1.25
159,2012-08-10,1.25
160,2012-08-13,1.25
161,2012-08-14,1.25
162,2012-08-15,1.25
163,2012-08-16,1.25
164,2012-08-17,1.25
165,2012-08-20,1.25
166,2012-08-21,1.25
167,2012-08-22,1.25
168,2012-08-23,1.25
169,2012-08-24,1.25
170,2012-08-27,1.25
171,2012-08-28,1.25
172,2012-08-29,1.25
173,2012-08-30,1.25
174,2012-08-31,1.25
175,2012-09-03,1.25
176,2012-09-04,1.25
177,2012-09-05,1.25
178,2012-09-06,1.25
179,2012-09-07,1.25
180,2012-09-10,1.25
181,2012-09-11,1.25
182,2012-09-12,1.25
183,2012-09-13,1.25
184,2012-09-14,1.25
185,2012-09-17,1.25
186,2012-09-18,1.25
187,2012-09-19,1.25
188,2012-09-20,1.25
189,2012-09-21,1.25
190,2012-09-24,1.25
191,2012-09-25,1.25
192,2012-09-26,1.25
193,2012-09-27,1.25
194,2012-09-28,1.25
195,2012-10-01,1.25
196,2012-10-02,1.25
197,2012-10-03,1.25
198,2012-10-04,1.25
199,2012-10-05,1.25
200,2012-10-08,1.25
201,2012-10-09,1.25
202,2012-10-10,1.25
203,2012-10-11,1.25
204,2012-10-12,1.25
205,2012-10-15,1.25
206,2012-10-16,1.25
207,2012-10-17,1.25
208,2012-10-18,1.25
209,2012-10-19,1.25
210,2012-10-22,1.25
211,2012-10-23,1.25
212,2012-10-24,1.25
213,2012-10-25,1.25
214,2012-10-26,1.25
215,2012-10-29,1.25
216,2012-10-30,1.25
217,2012-10-31,1.25
218,2012-11-01,1.25
219,2012-11-02,1.25
220,2012-11-05,1.25
221,2012-11-06,1.25
222,2012-11-07,1.25
223,2012-11-08,1.25
224,2012-11-09,1.25
225,2012-11-12,1.25
226,2012-11-13,1.25
227,2012-11-14,1.25
228,2012-11-15,1.25
229,2012-11-16,1.25
230,2012-11-19,1.25
231,2012-11-20,1.25
232,2012-11-21,1.25
233,2012-11-22,1.25
234,2012-11-23,1.25
235,2012-11-26,1.25
236,2012-11-27,1.25
237,2012-11-28,1.25
238,2012-11-29,1.25
239,2012-11-30,1.25
240,2012-12-03,1.25
241,2012-12-04,1.25
242,2012-12-05,1.25
243,2012-12-06,1.25
244,2012-12-07,1.25
245,2012-12-10,1.25
246,2012-12-11,1.25
247,2012-12-12,1.25
248,2012-12-13,1.25
249,2012-12-14,1.25
250,2012-12-17,1.25
251,2012-12-18,1.25
252,2012-12-19,1.25
253,2012-12-20,1.25
