"SERIES"
"id","label","description"
"WGTS.AGRI","BCPI Weights Agriculture","BCPI Weights Agriculture - Potatoes: U.S. Bureau of Labor Statistics - Producer Price Index; Cattle: (US$/100 lb.) Steer feeder, Oklahoma city; Hogs: (US$/100 lb.) Iowa – South Minnesota average; Wheat: (US$/bushel) U.S. #1 spring wheat, 14% protein; Barley: (US$/bushel) Saskatchewan aggregate spot price; Canola: (US$/bushel) #1 Canada in store Vancouver; Corn: (US$/bushel) U.S. corn #2, Central"
"WGTS.BRENT","BCPI Weights Brent","BCPI Weights Brent - (US$/barrel) Brent front month futures, Intercontinental Exchange (ICE)"
"WGTS.COAL","BCPI Weights Coal","BCPI Weights Coal - (US$/tonne) long-term contract price for Canadian exports of metallurgical coal"
"WGTS.FISH","BCPI Weights Fisheries","BCPI Weights Fisheries - Finfish: Prices obtained from U.S. Bureau of Labor Statistics/Haver Analytics; Shellfish: Prices obtained from U.S. Bureau of Labor Statistics/Haver Analytics."
"WGTS.FOPR","BCPI Weights Forestry","BCPI Weights Forestry - Pulp: (US$/tonne) northern bleached softwood Kraft pulp; Lumber: (US$/thousand board feet) spruce-pine-fir, 2""x4"", f.o.b. at Prince George; Newsprint: (US$/ tonne) 30 pound newsprint price"
"WGTS.MTLS","BCPI Weights Metals and Minerals","BCPI Weights Metals and Minerals - Gold: (US$/oz.) Handy and Harman base price, N.Y.; Silver: (US$/oz.) Handy and Harman base price, N.Y.; Nickel: (US$/lb.) LME cash settlement; Copper: (US$/lb.) LME cash settlement; Aluminium: (US$/lb.) LME cash settlement; Zinc: (US$/lb.) LME cash settlement; Potash: (US$/tonne) standard potassium chloride, spot price, f.o.b. Vancouver; Lead: U.S. Bureau of Labor Statistics - Producer Price Index; Iron: U.S. Bureau of Labor Statistics - Producer Price Index"
"WGTS.NATURALGAS","BCPI Weights Natural Gas","BCPI Weights Natural Gas - (US$/MMBtu) Henry Hub natural gas front month futures, New York Mercantile Exchange (NYMEX)"
"WGTS.WCC","BCPI Weights Western Canada Select","BCPI Weights Western Canada Select - (US$/barrel) front month futures of Net Energy Canadian Heavy Crude Oil index, Chicago Mercantile Exchange (CME)"
"WGTS.WTI","BCPI Weights West Texas Intermediate","BCPI Weights West Texas Intermediate - (US$/barrel) West Texas Intermediate front month futures, New York mercantile Exchange (NYMEX)"

"OBSERVATIONS"
"date","WGTS.AGRI","WGTS.BRENT","WGTS.COAL","WGTS.FISH","WGTS.FOPR","WGTS.MTLS","WGTS.NATURALGAS","WGTS.WCC","WGTS.WTI"
"1972-01-01","30.0966438349","0.1339349726","1.1830782638","0.9205453099","30.4445473220","20.6185714306","2.9261469058","4.4042025519","9.2723294084"
"1973-01-01","33.7525616330","0.1373830643","1.0110418989","1.0107277333","28.4805362026","19.1857513747","2.3933703708","4.5175866363","9.5110410861"
"1974-01-01","30.1812160543","0.1716956415","1.2944243234","0.6878843365","27.6552621229","19.5158423862","2.9612795047","5.6458919411","11.8865036894"
"1975-01-01","31.3569185412","0.1719912842","2.3595358547","0.5520468188","23.1555884234","18.4900389850","6.3512954368","5.6556136003","11.9069710556"
"1976-01-01","27.6891121154","0.1634566927","2.2248001630","0.7647244924","26.1170564584","17.4992503426","8.8505097392","5.3749694271","11.3161205692"
"1977-01-01","22.9415913442","0.1773600252","2.2952893066","0.8615154387","27.3142797950","17.6248850386","10.6742749396","5.8321546660","12.2786494460"
"1978-01-01","24.9650060335","0.1771815336","2.1564682137","1.0835134392","27.3831316120","15.9447796951","10.1973417124","5.8262853021","12.2662924585"
"1979-01-01","23.5000706611","0.1816972772","1.9764348857","1.1228291871","27.2394164876","16.8709028040","10.5549537950","5.9747771345","12.5789177678"
"1980-01-01","23.3051792690","0.1791847031","1.7330479949","0.6899685414","23.6697369154","20.9095596096","11.2161951086","5.8921558067","12.4049720514"
"1981-01-01","24.5513770658","0.1862379999","1.9366549460","0.7777261636","23.1986539282","19.0847792766","11.2472078830","6.1240903571","12.8932723798"
"1982-01-01","24.7068139491","0.2417450797","2.3239887468","0.8576033223","20.8815822344","14.1052924148","12.1976045956","7.9493374749","16.7360321823"
"1983-01-01","21.7090274987","0.2792098824","2.0421700593","0.6739631432","21.3571353986","14.7766152128","10.6508573325","9.1812978532","19.3297236192"
"1984-01-01","19.2313294533","0.2768664834","2.5689374554","0.6173451501","21.8961308407","16.3339856815","10.8036754931","9.1042395337","19.1674899087"
"1985-01-01","18.7839811862","0.2823159856","2.5723639813","0.8402892771","22.3352870267","15.1203199397","11.2372469141","9.2834362827","19.5447594067"
"1986-01-01","21.1687245874","0.1775540397","2.5806505007","1.0042377062","28.2275449627","19.0130719327","9.6976007098","5.8385344729","12.2920810879"
"1987-01-01","17.5470274844","0.1986698698","2.4266775717","1.1522967726","31.2281696567","19.0719355549","8.0884020227","6.5328892860","13.7539317811"
"1988-01-01","17.4125414135","0.1458927099","2.5509971987","1.0815037163","31.7050390207","23.4440721186","8.7623787498","4.7974105089","10.1001645637"
