,Unnamed: 0,date,contents,speaker,title,sentiment
0,0,1996-06-13,"Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to increase slightly the degree of pressure on reserve positions. The action is expected to be associated with a small increase in short-term money market interest rates.The decision was taken to move toward a less accommodative stance in monetary policy in order to sustain and enhance the economic expansion.Chairman Greenspan decided to announce this action immediately so as to avoid any misunderstanding of the Committee's purposes, given the fact that this is the first firming of reserve market conditions by the Committee since early 1989.",Chairman Alan Greenspan,Bank supervision in a world economy,0.22175241261720657
1,1,1996-06-18,Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to increase slightly the degree of pressure on reserve positions. This action is expected to be associated with a small increase in short-term money market interest rates.,"Governor Edward W. Kelley, Jr.",Developments in electronic money and banking,0.16423652321100235
2,2,1996-09-08,Chairman Alan Greenspan announced today that the Federal Reserve will increase slightly the degree of pressure on reserve positions. This action is expected to be associated with a small increase in short-term money market interest rates.,Governor Laurence H. Meyer,Monetary policy objectives and strategy,0.1299593299627304
3,3,1996-09-19,"The Federal Reserve today announced two actions designed to maintain favorable trends in inflation and thereby sustain the economic expansion.The Board approved an increase in the discount rate from 3 percent to 3-1/2 percent, effective immediately, and the Federal Open Market Committee agreed that this increase should be allowed to show through completely into interest rates in reserve markets.These actions, combined with the three adjustments initiated earlier this year by the FOMC, substantially remove the degree of monetary accommodation which prevailed throughout 1993. As always, the Federal Reserve will continue to monitor economic and financial developments to judge the appropriate stance of monetary policy.In taking the discount action, the Board approved requests submitted by the Boards of Directors of eleven Federal Reserve Banks -- Boston, New York, Philadelphia, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City, Dallas and San Francisco. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Bank.",Chairman Alan Greenspan,Regulation and electronic payment systems,0.07148993387818336
4,4,1996-10-02,"The Federal Reserve announced today the following monetary policy actions:These measures were taken against the background of evidence of continuing strength in the economic expansion and high levels of resource utilization. The actions are intended to keep inflationary pressures contained, and thereby foster sustainable economic growth.The Federal Reserve will continue to monitor economic and financial developments to gauge the appropriate stance of policy. But these actions are expected to be sufficient, at least for a time, to meet the objective of sustained, noninflationary growth.In taking the discount rate action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Richmond, Kansas City, and Dallas. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Banks.",Governor Lawrence B. Lindsey,Small business is big business,0.07532072067260742
5,5,1996-10-05,"The Federal Reserve Board today approved an increase in the discount rate from 4 percent to 4 3/4 percent, effective immediately.In a related move, the Federal Open Market Committee decided that the increase in the discount rate should be reflected fully in interest rates in reserve markets.These measures were taken against the background of evidence of persistent strength in economic activity and high and rising levels of resource utilization. In these circumstances, the Federal Reserve views these actions as necessary to keep inflation contained, and thereby foster sustainable economic growth.In taking the discount rate action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, St. Louis, and Kansas City. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve banks.",Chairman Alan Greenspan,"Bank supervision, regulation, and risk",0.12202456966042519
6,6,1996-10-07,"For immediate releaseThe Federal Reserve Board today approved an increase in the discount rate from 4 3/4 percent to 5 1/4 percent, effective immediately.In a related move, the Federal Open Market Committee agreed that this increase should be reflected fully in interest rates in the reserve markets.Despite tentative signs of some moderation in growth, economic activity has continued to advance at a substantial pace, while resource utilization has risen further. In these circumstances, the Federal Reserve views these actions as necessary to keep inflation contained, and thereby foster sustainable economic growth.In taking the discount action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Richmond, Chicago, St. Louis, Kansas City and San Francisco. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Banks.",Chairman Alan Greenspan,U.S. Treasury securities market: Lessons from Alexander Hamilton,0.6170707568526268
7,7,1996-10-09,"For immediate releaseChairman Alan Greenspan announced today that the Federal Open Market Committee decided to decrease slightly the degree of pressure on bank reserve positions.As a result of the monetary tightening initiated in early 1994, inflationary pressures have receded enough to accommodate a modest adjustment in monetary conditions.Today's action will be reflected in a 25 basis point decline in the federal funds rate from about 6 percent to about 5-3/4 percent.",Governor Lawrence B. Lindsey,Here we go again?,-0.729647234082222
8,8,1996-10-11,"For immediate releaseChairman Alan Greenspan announced today that the Federal Open Market Committee decided to decrease slightly the degree of pressure on reserve positions.Since the last easing of monetary policy in July, inflation has been somewhat more favorable than anticipated, and this result along with an associated moderation in inflation expectations warrants a modest easing in monetary conditions.This action is expected to be reflected in a decline in the federal funds rate of 25 basis points, from about 5 3/4 percent to about 5 1/2 percent.",Governor Lawrence B. Lindsey,How to grow faster,-0.8809237107634544
9,9,1996-10-16,"For immediate releaseThe Federal Reserve today announced the following policy actions:The Board of Governors approved a reduction in the discount rate from 5-1/4 percent to 5 percent, effective immediately.In a related move, the Federal Open Market Committee agreed that the reduction would be reflected fully in interest rates inthe reserve markets. This is expected to result in a reduction in the federal funds rate of 25 basis points, from about 5-1/2percent to about 5-1/4 percent.Moderating economic expansion in recent months has reduced potentialinflationary pressures going forward. With price and cost trendsalready subdued, a slight easing of monetary policy is consistent withcontained inflation and sustainable growth.In taking the discount action, the Board approved requests submittedby the Boards of Directors of the Federal Reserve Banks of New York,Philadelphia, Cleveland, Atlanta, Minneapolis, and Dallas.For immediate releaseThe Federal Reserve today announced the following policy actions:The Board of Governors approved a reduction in the discount rate from 5-1/4 percent to 5 percent, effective immediately.In a related move, the Federal Open Market Committee agreed that the reduction would be reflected fully in interest rates inthe reserve markets. This is expected to result in a reduction in the federal funds rate of 25 basis points, from about 5-1/2percent to about 5-1/4 percent.Moderating economic expansion in recent months has reduced potentialinflationary pressures going forward. With price and cost trendsalready subdued, a slight easing of monetary policy is consistent withcontained inflation and sustainable growth.In taking the discount action, the Board approved requests submittedby the Boards of Directors of the Federal Reserve Banks of New York,Philadelphia, Cleveland, Atlanta, Minneapolis, and Dallas.The Federal Reserve today announced the following policy actions:The Board of Governors approved a reduction in the discount rate from 5-1/4 percent to 5 percent, effective immediately.In a related move, the Federal Open Market Committee agreed that the reduction would be reflected fully in interest rates inthe reserve markets. This is expected to result in a reduction in the federal funds rate of 25 basis points, from about 5-1/2percent to about 5-1/4 percent.Moderating economic expansion in recent months has reduced potentialinflationary pressures going forward. With price and cost trendsalready subdued, a slight easing of monetary policy is consistent withcontained inflation and sustainable growth.In taking the discount action, the Board approved requests submittedby the Boards of Directors of the Federal Reserve Banks of New York,Philadelphia, Cleveland, Atlanta, Minneapolis, and Dallas.In taking the discount action, the Board approved requests submittedby the Boards of Directors of the Federal Reserve Banks of New York,Philadelphia, Cleveland, Atlanta, Minneapolis, and Dallas.1996 Monetary policyLast update: March 16, 2001(function(){var js = ""window['__CF$cv$params']={r:'7648af4acca0713c',m:'kvKS5JK3sgEJn1Z_W.dlcZXfqroqjj8pVjD5y85FwiE-1667515992-0-ATLliwR42JJoukQvPUvhzBxRlqoZpGki/wHgQmN3nT+ulzQr76MmcBw7aYojbBtiV38HOja0gLFCbRsboCgEtLP2ihr4t5Ay6XirbfQiZDtZNG0m5zXcZ5s2r4mBcXeDUIsAwADclYJlb6BT28zVJDg=',s:[0xfa0c351080,0x3b811da658],u:'/cdn-cgi/challenge-platform/h/g'};var now=Date.now()/1000,offset=14400,ts=''+(Math.floor(now)-Math.floor(now%offset)),_cpo=document.createElement('script');_cpo.nonce='',_cpo.src='/cdn-cgi/challenge-platform/h/g/scripts/alpha/invisible.js?ts='+ts,document.getElementsByTagName('head')[0].appendChild(_cpo);"";var _0xh = document.createElement('iframe');_0xh.height = 1;_0xh.width = 1;_0xh.style.position = 'absolute';_0xh.style.top = 0;_0xh.style.left = 0;_0xh.style.border = 'none';_0xh.style.visibility = 'hidden';document.body.appendChild(_0xh);function handler() {var _0xi = _0xh.contentDocument || _0xh.contentWindow.document;if (_0xi) {var _0xj = _0xi.createElement('script');_0xj.nonce = '';_0xj.innerHTML = js;_0xi.getElementsByTagName('head')[0].appendChild(_0xj);}}if (document.readyState !== 'loading') {handler();} else if (window.addEventListener) {document.addEventListener('DOMContentLoaded', handler);} else {var prev = document.onreadystatechange || function () {};document.onreadystatechange = function (e) {prev(e);if (document.readyState !== 'loading') {document.onreadystatechange = prev;handler();}};}})();",Chairman Alan Greenspan,Technological advances and productivity,-0.23074421286582947
