,2Y,3Y,5Y,10Y,convex1,convex2,convex3
2001-01-02,-0.2400000000000002,-0.3199999999999994,-0.4300000000000006,-0.3600000000000003,-0.07999999999999918,-0.11000000000000121,0.07000000000000028
2001-01-03,-0.1900000000000004,-0.25,-0.33999999999999986,-0.29000000000000004,-0.05999999999999961,-0.08999999999999986,0.04999999999999982
2001-01-04,-0.22000000000000064,-0.29000000000000004,-0.3799999999999999,-0.35999999999999943,-0.0699999999999994,-0.08999999999999986,0.020000000000000462
2001-01-05,-0.3200000000000003,-0.3899999999999997,-0.4399999999999995,-0.39000000000000057,-0.0699999999999994,-0.04999999999999982,0.049999999999998934
2001-01-08,-0.34999999999999964,-0.4300000000000006,-0.46999999999999975,-0.40999999999999925,-0.08000000000000096,-0.03999999999999915,0.0600000000000005
2001-01-09,-0.3100000000000005,-0.3799999999999999,-0.4399999999999995,-0.3899999999999997,-0.0699999999999994,-0.05999999999999961,0.04999999999999982
2001-01-10,-0.2400000000000002,-0.2999999999999998,-0.3799999999999999,-0.3100000000000005,-0.05999999999999961,-0.08000000000000007,0.0699999999999994
2001-01-11,-0.22000000000000064,-0.29000000000000004,-0.3600000000000003,-0.27000000000000046,-0.0699999999999994,-0.07000000000000028,0.08999999999999986
2001-01-12,-0.13999999999999968,-0.20000000000000018,-0.27000000000000046,-0.20000000000000018,-0.0600000000000005,-0.07000000000000028,0.07000000000000028
2001-01-15,-0.13999999999999968,-0.20000000000000018,-0.27000000000000046,-0.20000000000000018,-0.0600000000000005,-0.07000000000000028,0.07000000000000028
2001-01-16,-0.1800000000000006,-0.25,-0.3099999999999996,-0.20999999999999996,-0.0699999999999994,-0.05999999999999961,0.09999999999999964
2001-01-17,-0.21999999999999975,-0.28000000000000025,-0.3700000000000001,-0.21999999999999975,-0.0600000000000005,-0.08999999999999986,0.15000000000000036
2001-01-18,-0.27000000000000046,-0.3099999999999996,-0.4500000000000002,-0.2699999999999996,-0.03999999999999915,-0.14000000000000057,0.1800000000000006
2001-01-19,-0.2400000000000002,-0.29000000000000004,-0.3700000000000001,-0.23999999999999932,-0.04999999999999982,-0.08000000000000007,0.13000000000000078
2001-01-22,-0.29000000000000004,-0.3199999999999994,-0.3799999999999999,-0.20999999999999996,-0.02999999999999936,-0.0600000000000005,0.16999999999999993
2001-01-23,-0.21999999999999975,-0.28000000000000025,-0.3099999999999996,-0.1800000000000006,-0.0600000000000005,-0.02999999999999936,0.129999999999999
2001-01-24,-0.27000000000000046,-0.2999999999999998,-0.3199999999999994,-0.17999999999999972,-0.02999999999999936,-0.019999999999999574,0.13999999999999968
2001-01-25,-0.25,-0.2999999999999998,-0.3099999999999996,-0.16999999999999993,-0.04999999999999982,-0.009999999999999787,0.13999999999999968
2001-01-26,-0.22999999999999954,-0.27000000000000046,-0.3100000000000005,-0.16999999999999993,-0.040000000000000924,-0.040000000000000036,0.14000000000000057
2001-01-29,-0.22000000000000064,-0.2599999999999998,-0.2600000000000007,-0.13999999999999968,-0.03999999999999915,-8.881784197001252e-16,0.120000000000001
2001-01-30,-0.25,-0.28000000000000025,-0.2999999999999998,-0.20999999999999996,-0.03000000000000025,-0.019999999999999574,0.08999999999999986
2001-01-31,-0.2599999999999998,-0.29000000000000004,-0.29000000000000004,-0.1999999999999993,-0.03000000000000025,0.0,0.09000000000000075
2001-02-01,-0.3200000000000003,-0.3700000000000001,-0.34999999999999964,-0.27000000000000046,-0.04999999999999982,0.020000000000000462,0.07999999999999918
2001-02-02,-0.3099999999999996,-0.33000000000000007,-0.34999999999999964,-0.2599999999999998,-0.020000000000000462,-0.019999999999999574,0.08999999999999986
2001-02-05,-0.28000000000000025,-0.33000000000000007,-0.3200000000000003,-0.23000000000000043,-0.04999999999999982,0.009999999999999787,0.08999999999999986
2001-02-06,-0.23000000000000043,-0.27000000000000046,-0.28000000000000025,-0.1900000000000004,-0.040000000000000036,-0.009999999999999787,0.08999999999999986
2001-02-07,-0.2400000000000002,-0.27999999999999936,-0.28000000000000025,-0.3100000000000005,-0.03999999999999915,-8.881784197001252e-16,-0.03000000000000025
2001-02-08,-0.21999999999999975,-0.2600000000000007,-0.25,-0.29000000000000004,-0.040000000000000924,0.010000000000000675,-0.040000000000000036
2001-02-09,-0.25,-0.3099999999999996,-0.3000000000000007,-0.33999999999999986,-0.05999999999999961,0.009999999999998899,-0.03999999999999915
2001-02-12,-0.27000000000000046,-0.3099999999999996,-0.3099999999999996,-0.33000000000000007,-0.03999999999999915,0.0,-0.020000000000000462
2001-02-13,-0.2400000000000002,-0.2999999999999998,-0.3099999999999996,-0.34999999999999964,-0.05999999999999961,-0.009999999999999787,-0.040000000000000036
2001-02-14,-0.23000000000000043,-0.29000000000000004,-0.2999999999999998,-0.35000000000000053,-0.05999999999999961,-0.009999999999999787,-0.05000000000000071
2001-02-15,-0.16000000000000014,-0.20999999999999996,-0.22000000000000064,-0.3299999999999992,-0.04999999999999982,-0.010000000000000675,-0.10999999999999854
2001-02-16,-0.21999999999999975,-0.2699999999999996,-0.27999999999999936,-0.35999999999999943,-0.04999999999999982,-0.009999999999999787,-0.08000000000000007
