,date,text
Triennial Central Bank Survey of Foreign Exchange and Derivatives Market Activity in Canada during April 2022,2022-10-27,
"Bank of Canada increases policy interest rate by 50 basis points, continues quantitative tightening",2022-06-01,"The Bank of Canada today increased its target for the overnight rate to 1½%, with the Bank Rate at 1¾% and the deposit rate at 1½%. The Bank is also continuing its policy of quantitative tightening (QT).
Inflation globally and in Canada continues to rise, largely driven by higher prices for energy and food. In Canada, CPI inflation reached 6.8% for the month of April – well above the Bank’s forecast – and will likely move even higher in the near term before beginning to ease. As pervasive input price pressures feed through into consumer prices, inflation continues to broaden, with core measures of inflation ranging between 3.2% and 5.1%. Almost 70% of CPI categories now show inflation above 3%. The risk of elevated inflation becoming entrenched has risen. The Bank will use its monetary policy tools to return inflation to target and keep inflation expectations well anchored.
The increase in global inflation is occurring as the global economy slows. The Russian invasion of Ukraine, China’s COVID-related lockdowns, and ongoing supply disruptions are all weighing on activity and boosting inflation. The war has increased uncertainty and is putting further upward pressure on prices for energy and agricultural commodities. This is dampening the outlook, particularly in Europe. In the United States, private domestic demand remains robust, despite the economy contracting in the first quarter of 2022. US labour market strength continues, with wage pressures intensifying. Global financial conditions have tightened and markets have been volatile.
Canadian economic activity is strong and the economy is clearly operating in excess demand. National accounts data for the first quarter of 2022 showed GDP growth of 3.1 percent, in line with the Bank’s April Monetary Policy Report (MPR) projection. Job vacancies are elevated, companies are reporting widespread labour shortages, and wage growth has been picking up and broadening across sectors. Housing market activity is moderating from exceptionally high levels. With consumer spending in Canada remaining robust and exports anticipated to strengthen, growth in the second quarter is expected to be solid.
With the economy in excess demand, and inflation persisting well above target and expected to move higher in the near term, the Governing Council continues to judge that interest rates will need to rise further. The policy interest rate remains the Bank’s primary monetary policy instrument, with quantitative tightening acting as a complementary tool. The pace of further increases in the policy rate will be guided by the Bank’s ongoing assessment of the economy and inflation, and the Governing Council is prepared to act more forcefully if needed to meet its commitment to achieve the 2% inflation target.
The next scheduled date for announcing the overnight rate target is July 13, 2022. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the MPR at the same time."
Bank of Canada welcomes IMF report following transparency review,2022-09-28,
"Bank of Canada increases policy interest rate by 75 basis points,  continues quantitative tightening",2022-09-07,"The Bank of Canada today increased its target for the overnight rate to 3¼%, with the Bank Rate at 3½% and the deposit rate at 3¼%. The Bank is also continuing its policy of quantitative tightening.
The global and Canadian economies are evolving broadly in line with the Bank’s July projection. The effects of COVID-19 outbreaks, ongoing supply disruptions, and the war in Ukraine continue to dampen growth and boost prices.
Global inflation remains high and measures of core inflation are moving up in most countries. In response, central banks around the world continue to tighten monetary policy. Economic activity in the United States has moderated, although the US labour market remains tight. China is facing ongoing challenges from COVID shutdowns. Commodity prices have been volatile: oil, wheat and lumber prices have moderated while natural gas prices have risen.
In Canada, CPI inflation eased in July to 7.6% from 8.1% because of a drop in gasoline prices.  However, inflation excluding gasoline increased and data indicate a further broadening of price pressures, particularly in services. The Bank’s core measures of inflation continued to move up, ranging from 5% to 5.5% in July. Surveys suggest that short-term inflation expectations remain high. The longer this continues, the greater the risk that elevated inflation becomes entrenched.
The Canadian economy continues to operate in excess demand and labour markets remain tight. Canada’s GDP grew by 3.3% in the second quarter. While this was somewhat weaker than the Bank had projected, indicators of domestic demand were very strong – consumption grew by about 9½% and business investment was up by close to 12%. With higher mortgage rates, the housing market is pulling back as anticipated, following unsustainable growth during the pandemic. The Bank continues to expect the economy to moderate in the second half of this year, as global demand weakens and tighter monetary policy here in Canada begins to bring demand more in line with supply.
Given the outlook for inflation, the Governing Council still judges that the policy interest rate will need to rise further. Quantitative tightening is complementing increases in the policy rate. As the effects of tighter monetary policy work through the economy, we will be assessing how much higher interest rates need to go to return inflation to target. The Governing Council remains resolute in its commitment to price stability and will continue to take action as required to achieve the 2% inflation target.
The next scheduled date for announcing the overnight rate target is October 26, 2022. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the MPR at the same time."
Bank of Canada launches process to appoint new non-executive Deputy Governor,2022-08-25,
Bank of Canada publishes 2023 schedule for interest rate announcements,2022-07-26,
"Bank of Canada increases policy interest rate by 100 basis points, continues quantitative tightening",2022-07-13,"The Bank of Canada today increased its target for the overnight rate to 2½%, with the Bank Rate at 2¾% and the deposit rate at 2½%. The Bank is also continuing its policy of quantitative tightening (QT).
Inflation in Canada is higher and more persistent than the Bank expected in its April Monetary Policy Report (MPR), and will likely remain around 8% in the next few months. While global factors such as the war in Ukraine and ongoing supply disruptions have been the biggest drivers, domestic price pressures from excess demand are becoming more prominent. More than half of the components that make up the CPI are now rising by more than 5%. With this broadening of price pressures, the Bank’s core measures of inflation have moved up to between 3.9% and 5.4%. Also, surveys indicate more consumers and businesses are expecting inflation to be higher for longer, raising the risk that elevated inflation becomes entrenched in price- and wage-setting. If that occurs, the economic cost of restoring price stability will be higher.
Global inflation is higher, reflecting the impact of the Russian invasion of Ukraine, ongoing supply constraints, and strong demand. Many central banks are tightening monetary policy to combat inflation, and the resulting tighter financial conditions are moderating economic growth. In the United States, high inflation and rising interest rates are contributing to a slowdown in domestic demand. China’s economy is being held back by waves of restrictive measures to contain COVID-19 outbreaks. Oil prices remain high and volatile. The Bank now expects global economic growth to slow to about 3½% this year and 2% in 2023 before strengthening to 3% in 2024.
Further excess demand has built up in the Canadian economy. Labour markets are tight with a record low unemployment rate, widespread labour shortages, and increasing wage pressures. With strong demand, businesses are passing on higher input and labour costs by raising prices. Consumption is robust, led by a rebound in spending on hard-to-distance services. Business investment is solid and exports are being boosted by elevated commodity prices. The Bank estimates that GDP grew by about 4% in the second quarter. Growth is expected to slow to about 2% in the third quarter as consumption growth moderates and housing market activity pulls back following unsustainable strength during the pandemic.
The Bank expects Canada’s economy to grow by 3½% in 2022, 1¾% in 2023, and 2½% in 2024. Economic activity will slow as global growth moderates and tighter monetary policy works its way through the economy. This, combined with the resolution of supply disruptions, will bring demand and supply back into balance and alleviate inflationary pressures. Global energy prices are also projected to decline. The July outlook has inflation starting to come back down later this year, easing to about 3% by the end of next year and returning to the 2% target by the end of 2024.
With the economy clearly in excess demand, inflation high and broadening, and more businesses and consumers expecting high inflation to persist for longer, the Governing Council decided to front-load the path to higher interest rates by raising the policy rate by 100 basis points today. The Governing Council continues to judge that interest rates will need to rise further, and the pace of increases will be guided by the Bank’s ongoing assessment of the economy and inflation. Quantitative tightening continues and is complementing increases in the policy interest rate. The Governing Council is resolute in its commitment to price stability and will continue to take action as required to achieve the 2% inflation target.
The next scheduled date for announcing the overnight rate target is September 7, 2022. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the MPR on October 26, 2022."
Deputy Governor Timothy Lane to Retire from the Bank of Canada,2022-06-22,
The Bank of Canada Releases Its Annual Report for 2021,2022-04-26,
"Bank of Canada increases policy interest rate by 50 basis points, begins quantitative tightening",2022-04-13,"The Bank of Canada today increased its target for the overnight rate to 1%, with the Bank Rate at 1¼% and the deposit rate at 1%. The Bank is also ending reinvestment and will begin quantitative tightening (QT), effective April 25. Maturing Government of Canada bonds on the Bank’s balance sheet will no longer be replaced and, as a result, the size of the balance sheet will decline over time.
Russia’s ongoing invasion of Ukraine is causing unimaginable human suffering and new economic uncertainty. Price spikes in oil, natural gas and other commodities are adding to inflation around the world. Supply disruptions resulting from the war are also exacerbating ongoing supply constraints and weighing on activity. These factors are the primary drivers of a substantial upward revision to the Bank’s outlook for inflation in Canada.
The war in Ukraine is disrupting the global recovery, just as most economies are emerging from the impact of the Omicron variant of COVID-19. European countries are more directly impacted by confidence effects and supply dislocations caused by the war. China’s economy is facing new COVID outbreaks and an ongoing correction in its property market. In the United States, domestic demand remains very strong and the US Federal Reserve has clearly indicated its resolve to use its monetary policy tools to control inflation. As policy stimulus is withdrawn, US growth is expected to moderate to a pace more in line with potential growth. Global financial conditions have tightened and volatility has increased. The Bank now forecasts global growth of about 3½% this year, 2½% in 2023 and 3¼% in 2024.
In Canada, growth is strong and the economy is moving into excess demand. Labour markets are tight, and wage growth is back to its pre-pandemic pace and rising. Businesses increasingly report they are having difficulty meeting demand, and are able to pass on higher input costs by increasing prices. While the COVID-19 virus continues to mutate and circulate, high rates of vaccination have reduced its health and economic impacts. Growth looks to have been stronger in the first quarter than projected in January and is likely to pick up in the second quarter. Consumer spending is strengthening with the lifting of pandemic containment measures. Exports and business investment will continue to recover, supported by strong foreign demand and high commodity prices. Housing market activity, which has been exceptionally high, is expected to moderate.
The Bank forecasts that Canada’s economy will grow by 4¼% this year before slowing to 3¼% in 2023 and 2¼% in 2024. Robust business investment, labour productivity growth and higher immigration will add to the economy’s productive capacity, while higher interest rates should moderate growth in domestic demand.
CPI inflation in Canada is 5.7%, above the Bank’s forecast in its January Monetary Policy Report (MPR). Inflation is being driven by rising energy and food prices and supply disruptions, in combination with strong global and domestic demand. Core measures of inflation have all moved higher as price pressures broaden. CPI inflation is now expected to average almost 6% in the first half of 2022 and remain well above the control range throughout this year. It is then expected to ease to about 2½% in the second half of 2023 and return to the 2% target in 2024. There is an increasing risk that expectations of elevated inflation could become entrenched. The Bank will use its monetary policy tools to return inflation to target and keep inflation expectations well-anchored.
With the economy moving into excess demand and inflation persisting well above target, the Governing Council judges that interest rates will need to rise further. The policy interest rate is the Bank’s primary monetary policy instrument, and quantitative tightening will complement increases in the policy rate. The timing and pace of further increases in the policy rate will be guided by the Bank’s ongoing assessment of the economy and its commitment to achieving the 2% inflation target.
The next scheduled date for announcing the overnight rate target is June 1, 2022. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the MPR on July 13, 2022.
A market notice providing operational details for QT will be published this morning on the Bank’s web site."
