,date,text,sentiment
"Bank of Canada increases policy interest rate by 50 basis points, continues quantitative tightening",2022-06-01,bank canada today increased target overnight rate bank rate deposit rate bank also continuing policy quantitative tightening qt inflation globally canada continues rise largely driven higher prices energy food canada cpi inflation reached 6.8 month april well bank forecast likely move even higher near term beginning ease pervasive input price pressures feed consumer prices inflation continues broaden core measures inflation ranging 3.2 5.1 almost cpi categories show inflation risk elevated infla,0.4194065
"Bank of Canada increases policy interest rate by 75 basis points,  continues quantitative tightening",2022-09-07,bank canada today increased target overnight rate bank rate deposit rate bank also continuing policy quantitative tightening global canadian economies evolving broadly line bank july projection effects covid-19 outbreaks ongoing supply disruptions war ukraine continue dampen growth boost prices global inflation remains high measures core inflation moving countries response central banks around world continue tighten monetary policy economic activity united states moderated although us labour mar,0.060901582
"Bank of Canada increases policy interest rate by 100 basis points, continues quantitative tightening",2022-07-13,bank canada today increased target overnight rate bank rate deposit rate bank also continuing policy quantitative tightening qt inflation canada higher persistent bank expected april monetary policy report mpr likely remain around next months global factors war ukraine ongoing supply disruptions biggest drivers domestic price pressures excess demand becoming prominent half components make cpi rising broadening price pressures bank core measures inflation moved 3.9 5.4 also surveys indicate consu,-0.7337586
"Bank of Canada increases policy interest rate by 50 basis points, begins quantitative tightening",2022-04-13,bank canada today increased target overnight rate bank rate deposit rate bank also ending reinvestment begin quantitative tightening qt effective april maturing government canada bonds bank balance sheet longer replaced result size balance sheet decline time russia ongoing invasion ukraine causing unimaginable human suffering new economic uncertainty price spikes oil natural gas commodities adding inflation around world supply disruptions resulting war also exacerbating ongoing supply constraint,-0.93421227
Bank of Canada increases policy interest rate,2022-03-02,bank canada today increased target overnight rate bank rate deposit rate bank continuing reinvestment phase keeping overall holdings government canada bonds balance sheet roughly constant time becomes appropriate allow size balance sheet decline unprovoked invasion ukraine russia major new source uncertainty prices oil commodities risen sharply add inflation around world negative impacts confidence new supply disruptions could weigh global growth financial market volatility increased situation r,-0.9025316
"Bank of Canada maintains policy rate, removes exceptional forward guidance",2022-01-26,bank canada today held target overnight rate effective lower bound bank rate deposit rate overall economic slack absorbed bank removed exceptional forward guidance policy interest rate bank continuing reinvestment phase keeping overall holdings government canada bonds roughly constant global recovery covid-19 pandemic strong uneven us economy growing robustly growth regions appears moderate especially china due current weakness property sector strong global demand goods combined supply bottlenec,0.512534
Bank of Canada maintains policy rate and forward guidance,2021-12-08,bank canada today held target overnight rate effective lower bound percent bank rate percent deposit rate percent bank extraordinary forward guidance path overnight rate maintained bank continuing reinvestment phase keeping overall holdings government canada bonds roughly constant global economy continues recover effects covid-19 pandemic economic growth united states accelerated led consumption growth regions moderating strong third quarter inflation increased many countries reflecting strong d,0.50111556
"Bank of Canada maintains policy rate and forward guidance,  ends quantitative easing",2021-10-27,bank canada today held target overnight rate effective lower bound percent bank rate percent deposit rate percent bank extraordinary forward guidance path overnight rate maintained bank ending quantitative easing qe moving reinvestment phase purchase government canada bonds solely replace maturing bonds global economic recovery covid-19 pandemic progressing vaccines proving highly effective virus although availability distribution globally remain uneven covid variants pose risks health economic ,-0.10828802
"Bank of Canada maintains policy rate, continues forward guidance  and current pace of quantitative easing",2021-09-08,bank canada today held target overnight rate effective lower bound percent bank rate percent deposit rate percent bank maintaining extraordinary forward guidance path overnight rate reinforced supplemented bank quantitative easing qe program maintained target pace billion per week global economic recovery continued second quarter led strong us growth solid momentum heading third quarter however supply chain disruptions restraining activity sectors rising cases covid-19 many regions pose risk str,-0.6577468
"Bank of Canada publishes its 2022 schedule for policy interest rate announcements, the release of the Monetary Policy Report and other major publications",2021-07-29,bank canada today published schedule policy interest rate announcements release quarterly monetary policy report also reconfirmed scheduled interest rate announcement dates remainder year bank also published schedule release business outlook survey canadian survey consumer expectations scheduled dates interest rate announcements follows scheduled dates interest rate announcements september december reconfirmed follows monetary policy report published interest rate announcements made 10:00 et mon,-0.042658567
Bank of Canada appoints Ron Morrow as Executive Director – Retail Payments Supervision,2021-07-28,bank canada today announced appointment ron morrow executive director retail payments supervision effective august executive-level position created endorsement bank board directors support bank new mandate supervise retail payment service providers psps per retail payment activities act act approved parliament june bank responsible supervising psps protect end users help ensure safety reliability psp services per act bank maintain public registry regulated payment service providers regular repor,0.028633129
"Bank of Canada maintains policy rate and forward guidance, adjusts quantitative easing program",2021-07-14,bank canada today held target overnight rate effective lower bound percent bank rate percent deposit rate percent bank maintaining extraordinary forward guidance path overnight rate reinforced supplemented bank quantitative easing qe program adjusted target pace billion per week adjustment reflects continued progress towards recovery bank increased confidence strength canadian economic outlook global economy recovering strongly covid-19 pandemic continued progress vaccinations particularly advan,0.55171543
Carolyn Rogers appointed as Senior Deputy Governor of the Bank of Canada,2021-07-12,board directors bank canada today announced carolyn rogers appointed senior deputy governor seven-year term effective december selection made independent members bank board approved federal cabinet ms. rogers succeeds carolyn a. wilkins resigned bank december senior deputy governor ms. rogers oversee bank strategic planning operations provide leadership bank role promoting stable efficient financial system member bank governing council share responsibility conduct monetary policy also member ban,0.011876896
"Bank of Canada will hold current level of policy rate until inflation objective is sustainably achieved, continues quantitative easing",2021-03-10,bank canada today held target overnight rate effective lower bound percent bank rate percent deposit rate percent bank maintaining extraordinary forward guidance reinforced supplemented quantitative easing qe program continues current pace least billion per week global economy recovering economic effects covid-19 albeit ongoing unevenness across regions sectors us economic recovery appears gaining momentum virus infections decline fiscal support boosts incomes consumption new fiscal stimulus inc,0.7641698
"Bank of Canada becomes inaugural member of new, international Central Bank Network for Indigenous Inclusion",2021-04-27,joint statement bank canada te pūtea matua reserve bank new zealand reserve bank australia along indigenous partners bank canada te pūtea matua reserve bank new zealand reserve bank australia formed voluntary network foster ongoing dialogue raise awareness indigenous economic financial issues central bank network indigenous inclusion established january aims share knowledge best practices promote engagement indigenous peoples foster greater understanding education indigenous economic issues hist,0.21670878
Bank of Canada statement on Monetary Policy Report embargo breach,2021-04-21,bank canada expects media organizations respect embargo conditions key publications today bank provided monetary policy report mpr embargo trusted media signed undertaking bank note bank provide embargoed access press release explains latest monetary policy decisions one media organization breached embargo time published articles two parts mpr key inputs projection section describing evolution balance sheet immediately contacted organization question instructed provide account circumstances surr,-0.017643757
"Bank of Canada will hold current level of policy rate until inflation objective is sustainably achieved, adjusts quantitative easing program",2021-04-21,bank canada today held target overnight rate effective lower bound percent bank rate percent deposit rate percent bank continues provide extraordinary forward guidance path overnight rate reinforced supplemented bank quantitative easing qe program effective week april weekly net purchases government canada bonds adjusted target billion adjustment amount incremental stimulus added week reflects progress made economic recovery outlook improved global canadian economies activity proven resilient ex,0.9112782
Bank of Canada announces 2020-21 scholarship recipients,2021-02-17,bank canada pleased announce year recipients scholarship awards students disabilities indigenous students students identify woman member visible minority racialized group person colour award combines tuition assistance opportunity work placement bank scholarships designed encourage canadians diverse backgrounds education consider employment fields related work bank 2020-21 award recipients follows ,-0.0075837635
University of Alberta crowned National Champion of The Governor’s Challenge,2021-02-16,university alberta bank canada sixth annual governor challenge national student competition teams simulate role advisor bank governing council winners announced following final round saturday february governor tiff macklem congratulated participants grasp monetary policy-making process encouraged consider future career public service first year taking part governor challenge thoroughly impressed calibre presentations made next generation bright economic minds said much offer country hope conside,0.272999
"Bank of Canada will hold current level of policy rate until inflation objective is achieved, continues quantitative easing",2021-01-20,bank canada today held target overnight rate effective lower bound percent bank rate percent deposit rate percent bank maintaining extraordinary forward guidance reinforced supplemented quantitative easing qe program continues current pace least billion per week covid-19 pandemic continues take severe human economic toll canada around world earlier-than anticipated arrival effective vaccines save lives livelihoods reduced uncertainty extreme levels nevertheless uncertainty still elevated outlook,0.0984076
"Bank of Canada will maintain current level of policy rate until inflation objective is achieved, continues its quantitative easing program",2020-12-09,bank canada today maintained target overnight rate effective lower bound percent bank rate percent deposit rate percent bank maintaining extraordinary forward guidance reinforced supplemented quantitative easing qe program continues current pace least billion per week rebound global canadian economies unfolded largely bank anticipated october monetary policy report mpr recently news development effective vaccines providing reassurance pandemic end normal activities resume although pace breadth g,0.38156557
Bank of Canada announces finalists for the sixth annual Governor’s Challenge,2020-11-24,bank canada announced five finalist teams 2020-21 edition governor challenge competition university students simulate role advisor bank governing council congratulations special mention runner teams governor tiff macklem congratulated finalists students professors took part thanks participants ideas teamwork interest competition despite unique challenges year due covid-19 pandemic said hope encouraged experience continue learning important policy-making role played bank canada ,0.23945072
Reminder: Changes to legal tender status will take effect in 2021,2020-11-19,"press release originally posted may accordance amendments bank canada act currency act approved parliament federal government recently decided remove legal tender status older bank notes january change affect 1,000 notes longer produced essentially means canadians longer able use transactions canadians affected bank notes targeted announcement produced decades rarely used transactions importantly bank notes lose value canadians redeem face value decide keep wish redeem bank notes easily financia",-0.45512962
Bank of Canada and OSFI launch pilot project on climate risk scenarios,2020-11-16,bank canada office superintendent financial institutions osfi today announced plans pilot project use climate-change scenarios better understand risks financial system related transition low-carbon economy small group institutions banking insurance sectors participate voluntarily project scenario analysis useful tool identifying potential risks environment considerable uncertainty climate-change scenarios related transition low-carbon economy explore different pathways emissions reductions drive,0.10853228
Bank of Canada Senior Deputy Governor Carolyn A. Wilkins to leave the Bank in December,2020-11-05,senior deputy governor carolyn a. wilkins informed bank board directors last day bank december honour serve canadians senior deputy governor bank canada immensely proud team accomplished years especially past months restore market functioning support households business pandemic said senior deputy governor wilkins end year provides appropriate time leave bank explore next chapter career also enables governor macklem board move forward solidifying team manage economy recovery achieve longer-term ,0.78674096
"Bank of Canada will maintain current level of policy rate until inflation objective is achieved, recalibrates its quantitative easing program",2020-10-28,bank canada today maintained target overnight rate effective lower bound percent bank rate percent deposit rate percent bank maintaining extraordinary forward guidance reinforced supplemented quantitative easing qe program bank recalibrating qe program shift purchases towards longer-term bonds direct influence borrowing rates important households businesses time total purchases gradually reduced least billion week governing council judges combined adjustments qe program providing least much mone,-0.012789287
Central banks and BIS publish first central bank digital currency (CBDC) report laying out key requirements,2020-10-09,group seven central banks together bank international settlements bis today published report identifying foundational principles necessary publicly available cbdcs help central banks meet public policy objectives report central bank digital currencies foundational principles core features compiled bank canada bank england bank japan european central bank federal reserve sveriges riksbank swiss national bank bis highlights three key principles cbdc group central banks continue work together cbdcs,0.09094543
Bank of Canada Senior Deputy Governor Carolyn A. Wilkins will not seek second term,2020-09-17,board directors bank canada announced today senior deputy governor carolyn a. wilkins informed seek second term current term runs may board initiate search process select successor great honour privilege serve canadians role throughout years bank senior deputy governor wilkins said time bank fulfilling period career testament many dedicated talented colleagues home abroad fortunate work senior deputy governor thanked past present members bank board directors former governor stephen poloz current,0.015750725
"Bank of Canada maintains commitment to current level of policy rate, continues program of quantitative easing",2020-09-09,bank canada today maintained target overnight rate effective lower bound percent bank rate correspondingly percent deposit rate percent bank also continuing quantitative easing qe program large-scale asset purchases least billion per week government canada bonds global canadian economies evolving broadly line scenario july monetary policy report mpr activity bouncing back countries lift containment measures bank continues expect strong reopening phase followed protracted uneven recuperation phas,0.2541763
Bank of Canada designates Interac e‑Transfer as a prominent payment system,2020-08-10,bank canada governor tiff macklem designated interac e‑transfer prominent payment system payment clearing settlement act effective august brings bank oversight payment system ensures remains safe viable effective method payment canadians bank regularly monitors evolution new existing payment systems determine whether warrant oversight potential cause systemic payment system risk designating interac e‑transfer prominent payment system means must adhere bank 's risk management standards including ,0.04935379
"Bank of Canada publishes its 2021 schedule for policy interest rate announcements and other major publications, makes change to effective date of rate decisions",2020-07-30,bank canada today published schedule policy interest rate announcements release quarterly monetary policy report also reconfirmed scheduled interest rate announcement dates remainder year.in addition bank published schedule release business outlook survey canadian survey consumer expectations.the scheduled dates interest rate announcements september december reconfirmed follows scheduled dates interest rate announcements follows monetary policy report publishedthe monetary policy report publishe,-0.067673765
"Bank of Canada will maintain current level of policy rate until inflation objective is achieved, continues program of quantitative easing",2020-07-15,bank canada today maintained target overnight rate effective lower bound percent bank rate correspondingly percent deposit rate percent bank also continuing quantitative easing qe program large-scale asset purchases least billion per week government canada bonds bank short-term liquidity programs announced since march improve market functioning intended effect reduced market strains use declined provincial corporate bond purchase programs continue announced bank stands ready adjust programs mark,0.22444724
Bank of Canada partners with the Bank for International Settlements to launch innovation centre,2020-06-30,bank international settlements bis bank canada announced today launching bis innovation hub centre advance fintech innovation within central banking community centre open toronto within two years one four locations scheduled open north america europe partnership advance bank understanding digital economy technological transformation financial services builds bank existing research collaboration partners central bank technology communities digital currencies fintech proud host bis innovation cent,0.1250501
Bank of Canada becomes administrator of Canadian Overnight Repo Rate Average,2020-06-15,bank canada administrator canadian overnight repo rate average corra post today first rate calculated using improved methodology bank publishes important canadian interest rate benchmark website cost public good bank also committed ensuring corra publication corra bank today important milestone collaborative efforts canadian financial industry bank reform interest rate benchmarks make financial markets even safer said bank canada deputy governor toni gravelle expect time corra become dominant ca,0.54125726
"Bank of Canada maintains target for the overnight rate, scales back some market operations as financial conditions improve",2020-06-03,bank canada today maintained target overnight rate effective lower bound percent bank rate correspondingly percent deposit rate percent incoming data confirm severe impact covid-19 pandemic global economy impact appears peaked although uncertainty recovery unfold remains high massive policy responses advanced economies helped replace lost income cushion effect economic shutdowns financial conditions improved commodity prices risen recent weeks falling sharply earlier year different countries con,-0.6510769
Tiff Macklem Appointed Governor of the Bank of Canada,2020-05-01,directors bank canada appointed section bank canada act today announced appointed tiff macklem governor bank canada seven-year term effective june mr. macklem succeed stephen s. poloz leaving bank canada june `` pursuing exhaustive domestic international selection process crucial role 'm delighted say tiff macklem exceptional qualities fulfil role said claire kennedy chair special committee board directors `` tiff deep knowledge monetary policy financial stability issues proven crisis management,0.10708347
Bank of Canada maintains overnight rate target and unveils new market operations,2020-04-15,bank canada today maintained target overnight rate percent bank considers effective lower bound bank rate correspondingly percent deposit rate percent bank also announced new measures provide additional support canada financial system necessary efforts contain covid-19 pandemic caused sudden deep contraction economic activity employment worldwide financial markets driven flight safety sharp repricing wide range assets also pushed prices commodities especially oil environment canadian dollar depr,-0.7633261
Bank of Canada lowers overnight rate target to ¼ percent,2020-03-27,bank canada today lowered target overnight rate basis points percent bank rate correspondingly percent deposit rate percent unscheduled rate decision brings policy rate effective lower bound intended provide support canadian financial system economy covid-19 pandemic spread covid-19 serious consequences canadians economy abrupt decline world oil prices pandemic-driven contraction prompted decisive fiscal policy action canada support individuals businesses minimize permanent damage structure econ,-0.370365
Bank of Canada lowers overnight rate target to ¾ percent,2020-03-13,bank canada today lowered target overnight rate basis points percent effective monday march bank rate correspondingly percent deposit rate percent unscheduled rate decision proactive measure taken light negative shocks canada economy arising covid-19 pandemic recent sharp drop oil prices clear spread coronavirus serious consequences canadian families canada economy addition lower prices oil even since last scheduled rate decision march weigh heavily economy particularly energy intensive regions ,-0.7401287
Bank of Canada lowers overnight rate target to 1 ¼ percent,2020-03-04,bank canada today lowered target overnight rate basis points percent bank rate correspondingly percent deposit rate percent canada economy operating close potential inflation target covid-19 virus material negative shock canadian global outlooks monetary fiscal authorities responding outbreak global economy showing signs stabilizing bank projected january monetary policy report mpr however covid-19 represents significant health threat people growing number countries consequence business activity,-0.9004117
Bank of Canada Announces Scholarship Recipients,2020-02-19,bank canada pleased announce 2019-2020 recipients scholarship awards women indigenous students students disabilities bank recognizes diverse talented workforce foster innovative thinking results better policy outcomes canadians scholarship programs reflect bank commitment diversity people ideas disciplines encouraging young canadians consider employment fields related work central bank assisting furthering education successful applicants 2019–20 follows ,0.16467912
Bank of Canada to begin publishing Canadian Overnight Repo Rate Average in June,2020-02-18,bank canada take responsibility publishing canadian overnight repo rate average corra effective monday june beginning date bank provide key interest rate benchmark financial markets cost make available bank website public good corra given day published bank website morning following business day means bank first publication corra june rate friday june announced july bank become administrator corra taking current administrator refinitiv benchmark services uk limited today bank also published meth,0.006059643
