DATE,DGS2,DGS3,DGS5,DGS10
2000-01-03,6.38,6.42,6.5,6.58
2000-01-04,6.3,6.34,6.4,6.49
2000-01-05,6.38,6.43,6.51,6.62
2000-01-06,6.35,6.39,6.46,6.57
2000-01-07,6.31,6.35,6.42,6.52
2000-01-10,6.38,6.42,6.49,6.57
2000-01-11,6.45,6.49,6.57,6.67
2000-01-12,6.49,6.53,6.63,6.72
2000-01-13,6.4,6.45,6.54,6.63
2000-01-14,6.44,6.49,6.59,6.69
2000-01-17,,,,
2000-01-18,6.47,6.53,6.65,6.75
2000-01-19,6.46,6.51,6.62,6.73
2000-01-20,6.49,6.55,6.67,6.79
2000-01-21,6.48,6.54,6.67,6.79
2000-01-24,6.43,6.48,6.59,6.69
2000-01-25,6.44,6.5,6.6,6.7
2000-01-26,6.45,6.51,6.62,6.69
2000-01-27,6.51,6.58,6.67,6.68
2000-01-28,6.58,6.62,6.68,6.66
2000-01-31,6.61,6.65,6.71,6.68
2000-02-01,6.6,6.63,6.68,6.62
2000-02-02,6.63,6.66,6.69,6.6
2000-02-03,6.56,6.56,6.56,6.49
2000-02-04,6.63,6.64,6.64,6.53
2000-02-07,6.68,6.72,6.76,6.64
2000-02-08,6.69,6.74,6.74,6.59
2000-02-09,6.69,6.75,6.77,6.56
2000-02-10,6.67,6.74,6.78,6.67
2000-02-11,6.65,6.73,6.77,6.63
2000-02-14,6.62,6.68,6.72,6.56
2000-02-15,6.66,6.72,6.74,6.56
2000-02-16,6.63,6.7,6.75,6.56
2000-02-17,6.69,6.72,6.76,6.58
2000-02-18,6.66,6.71,6.72,6.49
2000-02-21,,,,
2000-02-22,6.57,6.62,6.62,6.36
2000-02-23,6.61,6.63,6.66,6.44
2000-02-24,6.52,6.54,6.56,6.36
2000-02-25,6.45,6.48,6.5,6.36
2000-02-28,6.47,6.5,6.53,6.37
2000-02-29,6.53,6.58,6.61,6.42
2000-03-01,6.52,6.54,6.59,6.39
2000-03-02,6.52,6.58,6.59,6.4
2000-03-03,6.5,6.56,6.6,6.39
2000-03-06,6.55,6.62,6.64,6.42
2000-03-07,6.48,6.55,6.6,6.39
2000-03-08,6.5,6.54,6.59,6.38
2000-03-09,6.48,6.52,6.56,6.35
2000-03-10,6.55,6.58,6.61,6.39
2000-03-13,6.52,6.54,6.57,6.36
2000-03-14,6.48,6.5,6.52,6.31
2000-03-15,6.5,6.5,6.5,6.29
2000-03-16,6.5,6.49,6.47,6.26
2000-03-17,6.5,6.49,6.45,6.2
2000-03-20,6.52,6.5,6.45,6.18
2000-03-21,6.5,6.48,6.44,6.13
2000-03-22,6.5,6.47,6.41,6.13
2000-03-23,6.52,6.47,6.39,6.08
2000-03-24,6.64,6.59,6.51,6.2
2000-03-27,6.66,6.61,6.51,6.21
2000-03-28,6.6,6.57,6.46,6.17
2000-03-29,6.59,6.54,6.46,6.18
2000-03-30,6.52,6.47,6.35,6.06
2000-03-31,6.5,6.44,6.32,6.03
2000-04-03,6.45,6.41,6.3,6.0
2000-04-04,6.35,6.29,6.16,5.9
2000-04-05,6.35,6.29,6.17,5.9
2000-04-06,6.38,6.32,6.2,5.93
2000-04-07,6.38,6.33,6.18,5.86
2000-04-10,6.31,6.26,6.11,5.8
2000-04-11,6.36,6.31,6.19,5.89
2000-04-12,6.4,6.35,6.27,5.97
2000-04-13,6.4,6.34,6.24,5.94
2000-04-14,6.27,6.21,6.11,5.85
2000-04-17,6.33,6.29,6.23,6.01
2000-04-18,6.33,6.3,6.27,6.05
2000-04-19,6.33,6.29,6.23,5.99
2000-04-20,6.38,6.33,6.24,5.99
2000-04-21,,,,
2000-04-24,6.36,6.31,6.23,6.0
2000-04-25,6.48,6.45,6.39,6.14
2000-04-26,6.5,6.46,6.4,6.14
2000-04-27,6.63,6.59,6.51,6.23
2000-04-28,6.68,6.64,6.56,6.23
2000-05-01,6.73,6.68,6.59,6.29
2000-05-02,6.72,6.68,6.6,6.32
2000-05-03,6.73,6.71,6.66,6.4
2000-05-04,6.77,6.74,6.7,6.46
2000-05-05,6.84,6.81,6.77,6.51
2000-05-08,6.87,6.86,6.83,6.57
2000-05-09,6.86,6.82,6.75,6.53
2000-05-10,6.84,6.79,6.69,6.47
2000-05-11,6.82,6.78,6.67,6.43
2000-05-12,6.91,6.86,6.76,6.51
2000-05-15,6.88,6.82,6.73,6.47
2000-05-16,6.89,6.84,6.72,6.43
2000-05-17,6.9,6.84,6.74,6.48
2000-05-18,6.93,6.88,6.79,6.56
2000-05-19,6.86,6.8,6.71,6.51
2000-05-22,6.81,6.75,6.66,6.44
2000-05-23,6.83,6.77,6.68,6.45
2000-05-24,6.79,6.76,6.71,6.47
2000-05-25,6.71,6.69,6.64,6.39
2000-05-26,6.69,6.65,6.57,6.33
2000-05-29,,,,
2000-05-30,6.74,6.7,6.62,6.38
2000-05-31,6.69,6.66,6.54,6.29
2000-06-01,6.61,6.56,6.44,6.2
2000-06-02,6.52,6.48,6.37,6.15
2000-06-05,6.49,6.44,6.33,6.12
