DATE,DEXCAUS
1998-02-02,1.4529
1998-02-03,1.4512
1998-02-04,1.4471
1998-02-05,1.4388
1998-02-06,1.4285
1998-02-09,1.4354
1998-02-10,1.4295
1998-02-11,1.4363
1998-02-12,1.4383
1998-02-13,1.4431
1998-02-16,1.4431
1998-02-17,1.4405
1998-02-18,1.4355
1998-02-19,1.4235
1998-02-20,1.4205
1998-02-23,1.4246
1998-02-24,1.4218
1998-02-25,1.4232
1998-02-26,1.4205
1998-02-27,1.4236
1998-03-02,1.425
1998-03-03,1.4187
1998-03-04,1.4222
1998-03-05,1.4185
1998-03-06,1.4185
1998-03-09,1.4143
1998-03-10,1.414
1998-03-11,1.4075
1998-03-12,1.4113
1998-03-13,1.41
1998-03-16,1.4138
1998-03-17,1.4165
1998-03-18,1.4189
1998-03-19,1.418
1998-03-20,1.4182
1998-03-23,1.422
1998-03-24,1.4198
1998-03-25,1.4103
1998-03-26,1.412
1998-03-27,1.4147
1998-03-30,1.4225
1998-03-31,1.418
1998-04-01,1.4175
1998-04-02,1.4195
1998-04-03,1.421
1998-04-06,1.4185
1998-04-07,1.4223
1998-04-08,1.4246
1998-04-09,1.4251
1998-04-10,1.4266
1998-04-13,1.432
1998-04-14,1.4345
1998-04-15,1.4395
1998-04-16,1.4369
1998-04-17,1.4295
1998-04-20,1.428
1998-04-21,1.431
1998-04-22,1.4327
1998-04-23,1.4345
1998-04-24,1.436
1998-04-27,1.4385
1998-04-28,1.439
1998-04-29,1.4376
1998-04-30,1.4302
1998-05-01,1.434
1998-05-04,1.435
1998-05-05,1.439
1998-05-06,1.4391
1998-05-07,1.44
1998-05-08,1.4367
1998-05-11,1.4335
1998-05-12,1.4323
1998-05-13,1.4448
1998-05-14,1.448
1998-05-15,1.4508
1998-05-18,1.4497
1998-05-19,1.4502
1998-05-20,1.4498
1998-05-21,1.4475
1998-05-22,1.4496
1998-05-25,1.4496
1998-05-26,1.4549
1998-05-27,1.4568
1998-05-28,1.4556
1998-05-29,1.4571
1998-06-01,1.4568
1998-06-02,1.4543
1998-06-03,1.453
1998-06-04,1.4558
1998-06-05,1.4586
1998-06-08,1.4592
1998-06-09,1.4602
1998-06-10,1.4669
1998-06-11,1.4701
1998-06-12,1.4685
1998-06-15,1.474
1998-06-16,1.4708
1998-06-17,1.4635
1998-06-18,1.469
1998-06-19,1.4695
1998-06-22,1.4713
1998-06-23,1.4698
1998-06-24,1.47
1998-06-25,1.4668
1998-06-26,1.4693
1998-06-29,1.4721
1998-06-30,1.4717
1998-07-01,1.4658
1998-07-02,1.4686
1998-07-03,1.4675
1998-07-06,1.473
1998-07-07,1.4732
1998-07-08,1.4745
1998-07-09,1.4768
1998-07-10,1.48
1998-07-13,1.4786
1998-07-14,1.479
1998-07-15,1.485
1998-07-16,1.489
1998-07-17,1.4885
1998-07-20,1.488
1998-07-21,1.4923
1998-07-22,1.4957
1998-07-23,1.4953
1998-07-24,1.4979
1998-07-27,1.504
1998-07-28,1.5023
1998-07-29,1.5039
1998-07-30,1.5085
